num_samples,L
13750000,-141.450879745
13800000,-141.448480011
13850000,-141.410478134
13900000,-141.408125702
13950000,-141.376872421
14000000,-141.352409729
50000,-192.092185455
50000,-192.092185455,-178.920730591
100000,-179.006962128
100000,-179.006962128,-175.313751221
150000,-174.549866211
150000,-174.549866211,-171.217269897
200000,-172.123911407
200000,-172.123911407,-170.185699463
250000,-170.586645477
250000,-170.586645477,-168.992614746
300000,-169.663539154
300000,-169.663539154,-168.345779419
350000,-169.125330933
350000,-169.125330933,-168.150848389
400000,-168.925840637
400000,-168.925840637,-168.038406372
450000,-168.684350006
450000,-168.684350006,-167.91053772
500000,-168.544371338
500000,-168.544371338,-167.882080078
550000,-168.419786499
550000,-168.419786499,-167.797302246
600000,-168.29917337
600000,-168.29917337,-167.535507202
650000,-168.196005981
650000,-168.196005981,-167.421676636
700000,-168.040028015
700000,-168.040028015,-167.18522644
750000,-167.868934967
750000,-167.868934967,-167.176330566
800000,-167.670271118
800000,-167.670271118,-166.853225708
850000,-167.405521729
850000,-167.405521729,-166.515106201
900000,-167.102614136
900000,-167.102614136,-166.162521362
950000,-166.748548035
950000,-166.748548035,-165.75743103
1000000,-166.368938263
1000000,-166.368938263,-165.492141724
1050000,-165.960907227
1050000,-165.960907227,-165.153518677
1100000,-165.580318604
1100000,-165.580318604,-164.726455688
1150000,-165.175764496
1150000,-165.175764496,-164.221740723
1200000,-164.811370148
1200000,-164.811370148,-163.87562561
1250000,-164.428323914
1250000,-164.428323914,-163.486755371
1300000,-164.05934671
1300000,-164.05934671,-163.179138184
1350000,-163.708510803
1350000,-163.708510803,-162.802642822
1400000,-163.344617584
1400000,-163.344617584,-162.397140503
1450000,-162.973394196
1450000,-162.973394196,-162.026550293
1500000,-162.624190948
1500000,-162.624190948,-161.637207031
1550000,-162.235749146
1550000,-162.235749146,-161.203155518
1600000,-161.875967163
1600000,-161.875967163,-160.91859436
1650000,-161.497294678
1650000,-161.497294678,-160.499298096
1700000,-161.120766235
1700000,-161.120766235,-160.162368774
1750000,-160.760113281
1750000,-160.760113281,-159.781463623
1800000,-160.378089264
1800000,-160.378089264,-159.490844727
1850000,-160.009178162
1850000,-160.009178162,-159.046844482
1900000,-159.647609985
1900000,-159.647609985,-158.687225342
1950000,-159.261238495
1950000,-159.261238495,-158.255264282
