num_samples,L
20350000,-103.648591629,-104.256095886
20400000,-103.597959167,-104.245376587
20450000,-103.655778656,-104.202209473
20500000,-103.609007492,-104.224990845
20550000,-103.620831863,-104.26701355
20600000,-103.58069072,-104.259864807
20650000,-103.55306427,-104.32661438
20700000,-103.584966599,-104.2342453
20750000,-103.55117569,-104.24861145
20800000,-103.554007584,-104.214065552
20850000,-103.586751785,-104.213424683
20900000,-103.544482086,-104.219772339
20950000,-103.523784912,-104.143035889
21000000,-103.505940308,-104.131103516
21050000,-103.527270157,-104.101028442
21100000,-103.519673462,-104.095115662
21150000,-103.548088074,-104.20488739
21200000,-103.525365875,-104.199188232
21250000,-103.517269363,-104.201225281
21300000,-103.460676682,-104.176223755
21350000,-103.476536438,-104.138343811
21400000,-103.443105301,-104.201965332
21450000,-103.473006271,-104.023643494
21500000,-103.50152121,-104.141601562
21550000,-103.456735352,-104.125984192
21600000,-103.434571472,-104.08065033
21650000,-103.414956223,-104.101295471
21700000,-103.434298599,-104.139503479
21750000,-103.437125412,-104.110427856
21800000,-103.42738327,-104.166870117
21850000,-103.403873047,-104.04410553
21900000,-103.417410873,-104.028610229
21950000,-103.376211975,-104.049453735
22000000,-103.399874924,-104.033851624
22050000,-103.3977883,-104.055900574
22100000,-103.378961639,-104.023277283
22150000,-103.390112762,-104.027412415
22200000,-103.383488541,-104.097503662
22250000,-103.339274185,-103.990737915
22300000,-103.343471375,-104.001373291
22350000,-103.346862305,-104.044136047
22400000,-103.322172073,-103.983062744
22450000,-103.333970062,-103.955352783
22500000,-103.309188599,-103.907295227
22550000,-103.319123444,-103.989738464
22600000,-103.294816055,-104.028274536
22650000,-103.283945755,-104.029151917
22700000,-103.299163437,-103.92477417
22750000,-103.285118576,-103.918334961
22800000,-103.280932144,-103.929161072
22850000,-103.229272125,-103.983520508
22900000,-103.272112808,-103.878799438
22950000,-103.27985144,-103.96913147
23000000,-103.244606461,-103.927558899
23050000,-103.230665909,-103.976989746
23100000,-103.242674698,-103.883590698
23150000,-103.251887955,-103.879600525
23200000,-103.183141403,-103.829315186
23250000,-103.240301941,-103.972686768
23300000,-103.190441513,-103.932891846
23350000,-103.196271057,-103.812156677
23400000,-103.212367966,-103.876983643
23450000,-103.195730988,-103.929321289
23500000,-103.207999939,-103.839164734
23550000,-103.172797318,-103.846801758
23600000,-103.147783066,-103.863227844
23650000,-103.17240979,-103.833335876
23700000,-103.133296753,-103.84349823
23750000,-103.156341415,-103.891136169
23800000,-103.167683945,-103.898269653
23850000,-103.16884697,-103.800628662
23900000,-103.163643753,-103.869270325
23950000,-103.123670441,-103.862419128
24000000,-103.121590958,-103.785392761
24050000,-103.101969345,-103.859863281
24100000,-103.08713681,-103.772727966
24150000,-103.051458176,-103.791130066
24200000,-103.066914352,-103.734809875
24250000,-103.067975754,-103.744895935
24300000,-103.052075272,-103.839019775
24350000,-103.066126495,-103.810699463
24400000,-103.091306641,-103.776733398
24450000,-103.043500015,-103.792015076
24500000,-103.027175339,-103.645050049
24550000,-103.072368668,-103.736289978
24600000,-103.051144272,-103.813415527
24650000,-103.028858749,-103.760620117
24700000,-103.035787949,-103.720672607
24750000,-103.038845993,-103.724723816
24800000,-103.042799683,-103.635314941
24850000,-103.022527695,-103.769500732
24900000,-102.993015472,-103.728240967
24950000,-102.995874527,-103.740524292
25000000,-102.986703949,-103.70110321
25050000,-102.995063202,-103.698501587
25100000,-102.996633301,-103.691078186
25150000,-102.958812973,-103.660697937
25200000,-102.97997084,-103.621917725
25250000,-102.947369675,-103.739189148
25300000,-102.954590042,-103.698097229
25350000,-102.965435638,-103.683013916
25400000,-102.932113312,-103.739097595
25450000,-102.902178665,-103.695503235
25500000,-102.906859955,-103.636428833
25550000,-102.937126724,-103.606086731
25600000,-102.91534433,-103.59753418
25650000,-102.941660675,-103.569099426
25700000,-102.91249321,-103.693084717
25750000,-102.917897308,-103.605903625
25800000,-102.90106955,-103.614402771
25850000,-102.882771194,-103.588798523
25900000,-102.884757568,-103.660522461
25950000,-102.881052429,-103.601776123
26000000,-102.862435822,-103.568908691
26050000,-102.873255524,-103.561691284
26100000,-102.863834839,-103.551902771
26150000,-102.889097794,-103.55380249
26200000,-102.842056519,-103.577217102
26250000,-102.867131393,-103.588272095
26300000,-102.833350204,-103.552749634
26350000,-102.858520187,-103.604263306
26400000,-102.819314957,-103.615058899
26450000,-102.845921158,-103.54524231
26500000,-102.828396408,-103.578346252
26550000,-102.835468628,-103.510993958
26600000,-102.83100499,-103.571563721
26650000,-102.7906996,-103.514350891
26700000,-102.796529221,-103.518127441
26750000,-102.792501572,-103.50012207
26800000,-102.764274628,-103.519515991
26850000,-102.73723381,-103.486412048
26900000,-102.799376816,-103.496322632
26950000,-102.760398209,-103.433799744
27000000,-102.744849396,-103.405723572
27050000,-102.773936646,-103.493171692
27100000,-102.772223663,-103.554641724
27150000,-102.741235367,-103.483459473
27200000,-102.75877681,-103.499656677
27250000,-102.766370773,-103.408065796
27300000,-102.737461594,-103.492362976
27350000,-102.754639465,-103.441772461
27400000,-102.689098831,-103.457351685
27450000,-102.7089561,-103.479049683
27500000,-102.742563477,-103.418815613
27550000,-102.749713348,-103.480674744
27600000,-102.706908371,-103.48639679
27650000,-102.729364319,-103.505645752
27700000,-102.665124771,-103.419029236
27750000,-102.687001633,-103.456787109
27800000,-102.693299576,-103.421791077
27850000,-102.677621399,-103.464935303
27900000,-102.669539658,-103.424972534
27950000,-102.646453171,-103.468078613
28000000,-102.662656845,-103.360153198
28050000,-102.634068436,-103.358398438
28100000,-102.673391251,-103.39881134
28150000,-102.661947815,-103.403388977
28200000,-102.643387283,-103.388793945
28250000,-102.65047139,-103.39377594
28300000,-102.654832748,-103.418357849
28350000,-102.671675369,-103.387153625
28400000,-102.614055389,-103.361328125
28450000,-102.606779022,-103.290802002
28500000,-102.624651062,-103.318649292
28550000,-102.592734619,-103.304885864
28600000,-102.597880371,-103.386749268
28650000,-102.636792221,-103.384849548
28700000,-102.602287415,-103.362159729
28750000,-102.592731842,-103.274353027
28800000,-102.598997101,-103.263237
28850000,-102.567981461,-103.316589355
28900000,-102.595750122,-103.381851196
28950000,-102.553616302,-103.254951477
29000000,-102.56341864,-103.263557434
29050000,-102.550401047,-103.26750946
29100000,-102.544779205,-103.312767029
29150000,-102.547370712,-103.360733032
29200000,-102.56010733,-103.399124146
29250000,-102.528815704,-103.296607971
29300000,-102.539614227,-103.278747559
29350000,-102.524657333,-103.256103516
29400000,-102.529901794,-103.321586609
29450000,-102.534340363,-103.27911377
29500000,-102.521456238,-103.306053162
29550000,-102.548506729,-103.289733887
29600000,-102.507126816,-103.316009521
29650000,-102.503999146,-103.236953735
29700000,-102.508716049,-103.279823303
29750000,-102.503250793,-103.21559906
29800000,-102.484406082,-103.264144897
29850000,-102.481766495,-103.260795593
29900000,-102.474168213,-103.288803101
29950000,-102.483905197,-103.158332825
30000000,-102.487527451,-103.243865967
30050000,-102.423073059,-103.228240967
30100000,-102.483227539,-103.241752625
30150000,-102.452067734,-103.21207428
30200000,-102.499052689,-103.249259949
30250000,-102.479637924,-103.168991089
30300000,-102.410479874,-103.190078735
30350000,-102.438317001,-103.273574829
30400000,-102.43896904,-103.124534607
30450000,-102.47105365,-103.197227478
30500000,-102.427885345,-103.158309937
30550000,-102.418267563,-103.226341248
30600000,-102.417664703,-103.188735962
30650000,-102.402425201,-103.18624115
30700000,-102.391669556,-103.208984375
30750000,-102.449159103,-103.103813171
30800000,-102.405985352,-103.083122253
30850000,-102.41317041,-103.211364746
30900000,-102.40386618,-103.161895752
30950000,-102.379029404,-103.136428833
31000000,-102.367745056,-103.142250061
31050000,-102.405649689,-103.145111084
31100000,-102.385847382,-103.225372314
31150000,-102.348541321,-103.123374939
31200000,-102.331035629,-103.202125549
31250000,-102.348935181,-103.075584412
31300000,-102.350973053,-103.182899475
31350000,-102.353567871,-103.129859924
31400000,-102.355857239,-103.069122314
31450000,-102.342904251,-103.162734985
31500000,-102.349915405,-103.205963135
31550000,-102.340937469,-103.107139587
31600000,-102.315692154,-103.07762146
31650000,-102.349302872,-103.16456604
31700000,-102.330541977,-103.118652344
31750000,-102.294123413,-103.119186401
31800000,-102.347913483,-103.115722656
31850000,-102.30444313,-103.110374451
31900000,-102.341574432,-103.12297821
31950000,-102.307352859,-103.161628723
32000000,-102.325890335,-103.073165894
32050000,-102.302106766,-103.084335327
32100000,-102.316121948,-103.112075806
32150000,-102.30482283,-103.071533203
32200000,-102.303323227,-103.117347717
32250000,-102.270815598,-103.07775116
32300000,-102.256342896,-103.003074646
32350000,-102.294670029,-103.078224182
32400000,-102.241175247,-102.987831116
32450000,-102.240408173,-103.124305725
32500000,-102.249503052,-103.11050415
32550000,-102.24889537,-103.013397217
32600000,-102.252895477,-103.025527954
32650000,-102.24938382,-103.111999512
32700000,-102.264335098,-102.967941284
32750000,-102.233967255,-103.031715393
32800000,-102.211228043,-103.032783508
32850000,-102.258160233,-103.058738708
32900000,-102.221198914,-103.039833069
32950000,-102.223392883,-103.034973145
33000000,-102.229388412,-103.071998596
33050000,-102.222267624,-103.014816284
33100000,-102.24642836,-102.97039032
33150000,-102.19493576,-103.010826111
33200000,-102.235703506,-103.048843384
33250000,-102.212858414,-103.044021606
33300000,-102.170677155,-103.055900574
33350000,-102.220059402,-102.984931946
33400000,-102.188505295,-102.966346741
33450000,-102.187146683,-103.028457642
33500000,-102.176250168,-102.954338074
33550000,-102.135813461,-102.957481384
33600000,-102.165178207,-102.985847473
33650000,-102.171207352,-102.939865112
33700000,-102.182354385,-102.953575134
33750000,-102.171318436,-102.940872192
33800000,-102.184841095,-103.021430969
33850000,-102.143806091,-102.954185486
33900000,-102.162452026,-102.940673828
33950000,-102.125969666,-102.947540283
34000000,-102.137544388,-103.000167847
34050000,-102.13434343,-102.969268799
34100000,-102.14496109,-103.032234192
34150000,-102.17316777,-102.879631042
34200000,-102.140918854,-102.981834412
34250000,-102.131102692,-102.930152893
34300000,-102.114255569,-102.902877808
34350000,-102.111439911,-102.958847046
34400000,-102.10337709,-102.96736145
34450000,-102.111379745,-102.878616333
34500000,-102.113396912,-102.922515869
34550000,-102.112172379,-102.87928772
34600000,-102.107031891,-102.85483551
34650000,-102.055128799,-102.839286804
34700000,-102.104744125,-102.852478027
34750000,-102.110771088,-102.913696289
34800000,-102.071591721,-102.902450562
34850000,-102.111066269,-102.852508545
34900000,-102.121400146,-102.954750061
34950000,-102.084972961,-102.927932739
35000000,-102.046221191,-102.945205688
35050000,-102.054417114,-102.83392334
35100000,-102.090507828,-102.84602356
35150000,-102.042076782,-102.921684265
35200000,-102.083705734,-102.891212463
35250000,-102.039301392,-102.800933838
35300000,-102.055181122,-102.864891052
35350000,-102.03044371,-102.994384766
35400000,-102.028041504,-102.873565674
35450000,-102.025036896,-102.825912476
35500000,-102.063759674,-102.759971619
35550000,-102.025009674,-102.84047699
35600000,-101.996659973,-102.830474854
35650000,-102.029260651,-102.829086304
35700000,-102.035900513,-102.806564331
35750000,-102.034431702,-102.860198975
35800000,-101.994449142,-102.794441223
35850000,-101.975981979,-102.792808533
35900000,-101.975874237,-102.827796936
35950000,-102.029346359,-102.844551086
36000000,-102.004509628,-102.767936707
