num_samples,L,Lvalid
17950000,-143.352679175,-142.436085889
18000000,-143.359139551,-142.388356852
18050000,-143.355741568,-142.4076154
18100000,-143.349215883,-142.373908587
18150000,-143.346031764,-142.407402774
18200000,-143.325105571,-142.476862347
18250000,-143.313060005,-142.369085829
18300000,-143.309094341,-142.409935967
18350000,-143.282248356,-142.312892178
18400000,-143.290488659,-142.386264012
18450000,-143.27787037,-142.335230785
18500000,-143.267825732,-142.359601856
18550000,-143.265084687,-142.343993233
18600000,-143.254836511,-142.302449039
18650000,-143.23568836,-142.317505931
18700000,-143.246320465,-142.234300364
18750000,-143.225479371,-142.301444686
18800000,-143.221783654,-142.271378356
18850000,-143.224905683,-142.295137596
18900000,-143.200716221,-142.332106783
18950000,-143.194016201,-142.277476386
19000000,-143.195811539,-142.235716399
19050000,-143.176378785,-142.180409871
19100000,-143.164148186,-142.190041008
19150000,-143.156245456,-142.226772135
19200000,-143.139184932,-142.203550478
19250000,-143.143829765,-142.183958922
19300000,-143.125795401,-142.149398048
19350000,-143.111295556,-142.230544933
19400000,-143.120642548,-142.12195955
19450000,-143.115027604,-142.213711334
19500000,-143.106674904,-142.167329205
19550000,-143.089492321,-142.182628794
19600000,-143.097960518,-142.203629749
19650000,-143.083176166,-142.196528603
19700000,-143.06201548,-142.104480364
19750000,-143.05856922,-142.146136831
19800000,-143.046270459,-142.049556761
19850000,-143.048191762,-142.104291596
19900000,-143.020682717,-142.077520848
19950000,-143.008370061,-142.075365854
20000000,-143.027732671,-142.066055285
20050000,-143.010181414,-142.072528331
20100000,-143.001830631,-142.058691087
20150000,-142.98255933,-142.068070016
20200000,-142.973522984,-142.140788582
20250000,-142.97195501,-142.052080945
20300000,-142.964173619,-142.038503694
20350000,-142.953896994,-142.109232801
20400000,-142.945640911,-142.022975279
20450000,-142.935993028,-142.072967363
20500000,-142.938822539,-142.008273825
20550000,-142.929074509,-142.003307318
20600000,-142.919355805,-141.97086487
20650000,-142.9303838,-142.034691171
20700000,-142.911749711,-141.912410709
20750000,-142.902988202,-141.967480348
20800000,-142.886743207,-141.901930415
20850000,-142.871292421,-141.999604157
20900000,-142.893092095,-141.990748134
20950000,-142.870705768,-141.982184155
21000000,-142.867150741,-141.912766266
21050000,-142.844919199,-141.958598472
21100000,-142.823781496,-141.942000257
21150000,-142.838212997,-141.955661706
21200000,-142.829600444,-141.924570477
21250000,-142.823249905,-141.931603072
21300000,-142.800067071,-141.89076421
21350000,-142.80309097,-141.881246938
21400000,-142.799799263,-141.918521518
21450000,-142.78536288,-141.86628126
21500000,-142.798944446,-141.950862589
21550000,-142.76603054,-141.830541432
21600000,-142.75236356,-141.936454787
21650000,-142.761876862,-141.865028132
21700000,-142.74717626,-141.854296154
